,fed_party,potus_party,recess,pce,ue,cars,house,cli,loan,exports,rgdp,gdpg,veloc,ffr,d_pce,d_ue,d_cars,d_house,d_cli,d_loan,d_exports,d_rgdp,d_gdpg,d_veloc,d_ffr,b0_spx,b0_usd,b1_spx,b1_usd
2013-07-31,1.0,0.0,0.0,1.55,7.3,16.021,880.0,100.6774,3.25,3.5,3.5,2.0,6.623,0.12,0.13000000000000012,-0.2999999999999998,0.21000000000000085,45.0,0.25610000000000355,0.0,-0.20000000000000018,2.4,1.1,-0.024999999999999467,0.0,1571.103160219146,82.69180544195756,0.8907031550988245,-0.00036647780023704924
2013-09-18,1.0,0.0,0.0,1.52,7.2,15.857,850.0,100.7212,3.25,3.5,3.5,2.0,6.623,0.12,0.1200000000000001,-0.2999999999999998,-0.027000000000001023,-80.0,0.18679999999999097,0.0,-0.20000000000000018,2.4,1.1,-0.024999999999999467,0.0,1631.0554840455084,83.03725194268227,0.4039456741705969,-0.013516844841159427
2013-10-30,1.0,0.0,0.0,1.52,7.2,15.727,925.0,100.7246,3.25,12.0,3.5,2.1,6.492,0.12,-0.030000000000000027,-0.09999999999999964,-0.2940000000000005,45.0,0.04719999999998947,0.0,8.5,0.0,0.10000000000000009,-0.13100000000000023,0.0,1651.121599147936,83.2812179043586,0.5550403616462078,-0.031935036472919474
2013-12-18,1.0,0.0,0.0,1.65,6.7,15.835,1002.0,100.721,3.25,12.0,3.5,2.1,6.492,0.12,0.10999999999999988,-0.5,0.008000000000000895,85.0,0.012300000000010414,0.0,8.5,0.0,0.10000000000000009,-0.13100000000000023,0.0,1638.5759437727775,81.27382153518012,1.5226760866751277,-0.01011045477376196
2014-01-29,1.0,0.0,0.0,1.63,6.6,15.614,888.0,100.7091,3.25,-3.8,-1.4,1.5,6.314,0.12,0.10999999999999988,-0.6000000000000005,-0.24299999999999855,38.0,-0.012099999999989564,0.0,-7.3,-4.9,-0.5,-0.30900000000000016,0.0,1710.7686736587862,80.04980852440502,1.2326749584045014,0.006555040773072281
2014-03-19,0.0,0.0,0.0,1.59,6.7,16.985,970.0,100.7724,3.25,-3.8,-1.4,1.5,6.314,0.12,0.0,-0.20000000000000018,0.9059999999999988,-130.0,0.04420000000000357,0.0,-15.8,-4.9,-0.6000000000000001,-0.17799999999999994,0.0,1794.3946039149803,80.79647886292535,0.4560038006006007,-0.005814771149253601
2014-04-30,0.0,0.0,0.0,1.72,6.2,16.695,1043.0,100.83,3.25,8.9,5.3,2.3,6.272,0.12,0.07000000000000006,-0.5,0.8599999999999994,41.0,0.10899999999999466,0.0,-3.0999999999999996,1.7999999999999998,0.19999999999999973,-0.21999999999999975,0.0,1813.54987371609,80.88358872581675,0.4630805206230951,-0.01060792936597336
2014-06-18,0.0,0.0,0.0,1.72,6.1,17.516,911.0,100.9181,3.25,8.9,5.3,2.3,6.272,0.12,0.1499999999999999,-0.6000000000000005,1.522999999999998,-33.0,0.19199999999999307,0.0,12.7,6.699999999999999,0.7999999999999998,-0.041999999999999815,0.0,1834.3003203627013,79.781929665582,0.7228573422552402,0.003925556198625788
2014-07-30,0.0,0.0,0.0,1.73,6.2,17.277,1085.0,100.9373,3.25,1.7,5.0,1.7,6.277,0.12,0.1399999999999999,-0.5,0.2920000000000016,115.0,0.16489999999998872,0.0,5.5,6.4,0.19999999999999996,-0.03699999999999992,0.0,1839.9155938480412,79.73076864404784,1.2988091745788293,0.007285401878838092
2014-09-17,0.0,0.0,0.0,1.7,5.9,16.959,1023.0,100.9306,3.25,1.7,5.0,1.7,6.277,0.12,-0.07000000000000006,-0.39999999999999947,-0.17800000000000082,16.0,0.04989999999999384,0.0,-7.2,-0.2999999999999998,-0.5999999999999999,0.004999999999999893,0.0,1921.3963012829968,79.44534223120431,0.6381278578356677,0.03005027275981412
