,fed_party,potus_party,recess,mom,pce,ue,cars,house,cli,exports,rgdp,gdpd,veloc,ffr,mich,d_pce,d_ue,d_cars,d_house,d_cli,d_exports,d_rgdp,d_gdpd,d_veloc,d_ffr,d_mich,b0_spx,b0_usd,b0_loan,b1_spx,b1_usd,b1_loan
1994-08-16,1.0,0.0,0.0,0.0,2.34,6.0,15.359,1450.0,100.9774,15.8,2.4,2.3,6.369,4.25,3.1,0.040000000000000036,-0.40000000000000036,-0.6540000000000017,-15.0,-0.04729999999999279,1.6000000000000014,-3.1,0.3999999999999999,0.02999999999999936,0.75,0.10000000000000009,449.2610090056419,94.05987391235445,6.795690312738367,0.05519873830996495,-0.048252696724066985,0.005556793098560178
1994-09-27,1.0,0.0,0.0,1.0,2.32,5.9,15.274,1474.0,100.9099,15.8,2.4,2.3,6.369,4.75,3.4,0.04999999999999982,-0.1999999999999993,0.6969999999999992,-52.0,-0.1583000000000112,1.6000000000000014,-3.1,0.3999999999999999,0.02999999999999936,0.5,0.2999999999999998,449.0045380872411,91.86482971447467,7.087147215865751,0.17974112839709527,-0.03846151488236878,0.0055993195763552805
1994-11-15,1.0,0.0,0.0,0.0,2.28,5.6,15.89,1511.0,100.683,9.6,4.7,2.2,6.479,4.75,3.2,-0.07000000000000028,-0.5,1.0150000000000006,72.0,-0.3464999999999918,-6.200000000000001,2.3000000000000003,-0.09999999999999964,0.11000000000000032,0.5,0.30000000000000027,459.39602056833553,90.0965873421466,7.330091533180778,0.07709883316394454,-0.03671805511806479,0.005103177335412407
1994-12-20,1.0,0.0,0.0,1.0,2.25,5.5,15.584,1455.0,100.4894,9.6,4.7,2.2,6.479,5.5,3.0,-0.08999999999999986,-0.5,0.22499999999999964,5.0,-0.48799999999999955,-6.200000000000001,2.3000000000000003,-0.09999999999999964,0.11000000000000032,0.75,-0.10000000000000009,472.0038456710943,87.69582701216754,7.520938215102975,-0.15751567973523956,0.0014230153986529016,0.007314554180757784
1995-02-01,1.0,0.0,0.0,0.0,2.35,5.6,14.801,1407.0,100.233,7.9,1.4,2.2,6.55,5.5,3.0,0.0900000000000003,-0.20000000000000018,-1.093,-43.0,-0.5865000000000009,-1.6999999999999993,-3.3000000000000003,0.0,0.07099999999999973,0.75,0.0,461.896344306067,86.64927020854935,7.693135011441648,-0.021731627390848537,0.024700067660389537,0.009273809764889333
1995-03-28,1.0,0.0,0.0,1.0,2.25,5.4,15.256,1249.0,99.5694,7.9,1.4,2.2,6.55,6.0,3.2,-0.029999999999999805,-0.1999999999999993,-0.6340000000000003,-262.0,-1.1136000000000053,-1.6999999999999993,-3.3000000000000003,0.0,0.07099999999999973,0.5,0.0,447.19875356992816,90.72983416710802,8.348054919908467,0.410577856450751,-0.05632682357339728,0.006415422935947028
1995-05-23,1.0,0.0,0.0,0.0,2.27,5.6,14.806,1314.0,98.99206,5.7,1.2,1.9,6.614,6.0,3.0,-0.08000000000000007,0.0,0.004999999999999005,-93.0,-1.240940000000009,-2.2,-0.19999999999999996,-0.30000000000000027,0.06400000000000006,0.5,0.0,468.323274292644,87.8737872975551,8.837147215865752,0.48867673274632134,-0.06666382000326151,0.0021060731860432164
1995-07-06,1.0,0.0,0.0,0.0,2.19,5.6,15.407,1281.0,98.82222,5.7,1.2,1.9,6.614,6.0,2.9,-0.06000000000000005,0.1999999999999993,0.1509999999999998,32.0,-0.7471800000000002,-2.2,-0.19999999999999996,-0.30000000000000027,0.06400000000000006,0.0,-0.30000000000000027,488.61461262648385,82.8738131350729,9.0,0.49852886214242476,-0.008334829383322173,0.0
1995-08-22,1.0,0.0,0.0,-1.0,2.21,5.7,15.368,1416.0,98.66234,18.5,3.5,2.0,6.714,5.75,2.9,-0.10000000000000009,-0.09999999999999964,0.9900000000000002,149.0,-0.5845099999999945,12.8,2.3,0.10000000000000009,0.10000000000000053,-0.25,-0.3999999999999999,513.0662673729054,82.20376419893756,9.081807780320366,0.4767591409580292,-0.0006131103253591963,-0.002961665417873273
1995-09-26,1.0,0.0,0.0,0.0,2.23,5.6,15.338,1369.0,98.60894,18.5,3.5,2.0,6.714,5.75,2.8,-0.040000000000000036,0.0,0.532,55.0,-0.383119999999991,12.8,2.3,0.10000000000000009,0.10000000000000053,-0.25,-0.20000000000000018,532.6945561110019,80.58334777738919,9.007055682684975,0.37995817319983904,0.04742872770761403,-0.0029971041493691906
1995-11-15,1.0,0.0,0.0,0.0,2.27,5.6,15.38,1452.0,98.54256,5.8,2.7,1.9,6.86,5.75,2.8,0.10999999999999988,-0.10000000000000053,0.6800000000000015,-9.0,-0.18131999999999948,-12.7,-0.7999999999999998,-0.10000000000000009,0.1459999999999999,0.0,-0.10000000000000009,553.2796257106336,83.44062314008048,8.75,0.33510982318525223,0.014008542485709414,0.0
1995-12-19,1.0,0.0,0.0,0.0,2.31,5.6,16.262,1431.0,98.5592,5.8,2.7,1.9,6.86,5.75,2.7,0.10000000000000009,-0.10000000000000053,0.8940000000000001,15.0,-0.10313999999999623,-12.7,-0.7999999999999998,-0.10000000000000009,0.1459999999999999,0.0,-0.19999999999999973,561.5724497826385,85.66790268095643,8.75,0.42382399377733876,-0.016989731527432668,0.0
