,fed_party,potus_party,recess,mom,pce,ue,cars,house,cli,loan,exports,rgdp,gdpg,veloc,ffr,d_pce,d_ue,d_cars,d_house,d_cli,d_loan,d_exports,d_rgdp,d_gdpg,d_veloc,d_ffr,b0_spx,b0_usd,b1_spx,b1_usd
2014-06-18,0.0,0.0,0.0,0.0,1.72,6.1,17.516,911.0,100.9181,3.25,8.9,5.3,2.3,6.272,0.12,0.0,-0.10000000000000053,0.820999999999998,-132.0,0.08809999999999718,0.0,0.0,0.0,0.0,0.0,0.0,1855.3846510654325,79.51067654083597,1.4665597890160487,0.01973413700419169
2014-07-30,0.0,0.0,0.0,0.0,1.73,6.2,17.277,1085.0,100.9373,3.25,1.7,5.0,1.7,6.277,0.12,-0.040000000000000036,-0.09999999999999964,0.14000000000000057,78.0,0.05659999999998888,0.0,-7.2,-0.2999999999999998,-0.5999999999999999,0.004999999999999893,0.0,1932.2126150481301,80.35502984348473,0.9535265502884916,0.0022419415516848344
2014-09-17,0.0,0.0,0.0,0.0,1.7,5.9,16.959,1023.0,100.9306,3.25,1.7,5.0,1.7,6.277,0.12,-0.030000000000000027,-0.2999999999999998,-0.3180000000000014,-62.0,-0.006699999999995043,0.0,0.0,0.0,0.0,0.0,0.0,1948.8582651807462,80.23917349218954,0.8306576142693717,0.06425399401492655
2014-10-29,0.0,0.0,0.0,0.0,1.68,5.7,16.756,1074.0,100.9024,3.25,3.4,2.0,0.4,6.165,0.12,-0.010000000000000009,-0.39999999999999947,-0.48300000000000054,90.0,-0.03860000000000241,0.0,1.7,-3.0,-1.2999999999999998,-0.1120000000000001,0.0,2019.3226177815575,83.53139926078094,-1.8571340166285344,0.04672659821876085
2014-12-17,0.0,0.0,0.0,0.0,1.6,5.6,17.178,1073.0,100.7878,3.25,3.4,2.0,0.4,6.165,0.12,-0.07999999999999985,-0.10000000000000053,0.4220000000000006,-1.0,-0.11459999999999582,0.0,0.0,0.0,0.0,0.0,0.0,1958.4413051405395,85.59515832037758,2.1154871849958314,0.06277994068061549
2015-01-28,0.0,0.0,0.0,0.0,1.49,5.7,16.91,1085.0,100.6969,3.25,-3.1,3.6,-0.2,6.06,0.12,-0.1499999999999999,-0.09999999999999964,-0.03900000000000148,84.0,-0.15980000000000416,0.0,-6.5,1.6,-0.6000000000000001,-0.10500000000000043,0.0,2060.768012601251,87.48673743561069,-0.4242827188012288,0.10580550391428277
2015-03-18,0.0,0.0,0.0,0.0,1.55,5.4,17.896,960.0,100.4792,3.25,-3.1,3.6,-0.2,6.06,0.12,0.06000000000000005,-0.2999999999999998,0.9860000000000007,-125.0,-0.21769999999999357,0.0,0.0,0.0,0.0,0.0,0.0,2030.6475460154163,92.59363783049646,1.1921171656762302,0.09018175000690676
2015-04-29,0.0,0.0,0.0,0.0,1.57,5.4,17.693,1190.0,100.3682,3.25,1.1,2.5,2.3,6.097,0.12,0.020000000000000018,-0.09999999999999964,0.8020000000000032,304.0,-0.22239999999999327,0.0,4.2,-1.1,2.5,0.03700000000000081,0.0,2075.827287081481,97.49788125055878,0.33839082752131705,0.010789354062703548
2015-06-17,0.0,0.0,0.0,0.0,1.57,5.3,17.889,1205.0,100.1227,3.25,1.1,2.5,2.3,6.097,0.12,0.0,-0.10000000000000053,0.19599999999999795,15.0,-0.24550000000000693,0.0,0.0,0.0,0.0,0.0,0.0,2107.4868431619275,96.26239282460133,-0.02368916943682326,-0.018962459846523057
2015-07-29,0.0,0.0,0.0,0.0,1.55,5.2,18.318,1146.0,99.96289,3.25,-3.2,1.6,1.1,6.057,0.12,0.0,-0.39999999999999947,0.3890000000000029,67.0,-0.28780999999999324,0.0,-4.300000000000001,-0.8999999999999999,-1.1999999999999997,-0.040000000000000036,0.0,2100.422168307245,95.0277218555566,-0.152005621189262,0.03365350262752823
2015-09-17,0.0,0.0,0.0,0.0,1.56,5.0,18.281,1224.0,99.61057,3.25,-3.2,1.6,1.1,6.057,0.12,0.010000000000000009,-0.20000000000000018,-0.037000000000002586,78.0,-0.35232000000000596,0.0,0.0,0.0,0.0,0.0,0.0,2141.0170117172734,97.75830550436741,-3.697022975197105,-0.04383520414228787
2015-10-28,0.0,0.0,0.0,0.0,1.52,5.0,18.27,1058.0,99.46815,3.25,-0.5,0.7,0.0,6.007,0.12,-0.050000000000000044,-0.09999999999999964,-0.12099999999999866,-72.0,-0.3153199999999998,0.0,2.7,-0.9000000000000001,-1.1,-0.05000000000000071,0.0,1923.50762377173,95.83931780609319,1.8051820405681274,-0.007084215280535177
2015-12-16,0.0,0.0,0.0,0.0,1.48,5.0,17.503,1146.0,99.2442,3.25,-0.5,0.7,0.0,6.007,0.12,-0.040000000000000036,0.0,-0.7669999999999995,88.0,-0.22394999999998788,0.0,0.0,0.0,0.0,0.0,0.0,2068.9763484512423,96.5006887556527,-0.006994892388510527,0.05468851899036627
2016-01-27,0.0,0.0,0.0,1.0,1.6,4.8,18.054,1092.0,99.1592,3.5,-1.1,2.3,-0.3,5.927,0.38,0.1100000000000001,-0.2999999999999998,-0.26000000000000156,-80.0,-0.18925000000000125,0.25,-0.6000000000000001,1.5999999999999999,-0.3,-0.08000000000000007,0.26,2114.5968694195103,98.49982988443345,-3.767955873136636,0.006146993872941574
2016-03-16,0.0,0.0,0.0,0.0,1.62,5.0,17.291,1111.0,99.07903,3.5,-1.1,2.3,-0.3,5.927,0.38,0.020000000000000018,0.20000000000000018,-0.7629999999999981,19.0,-0.08016999999999541,0.0,0.0,0.0,0.0,0.0,0.0,1856.542923554261,98.92580904965769,2.2686633922725927,-0.04323647115745742
2016-04-27,0.0,0.0,0.0,0.0,1.64,5.1,17.669,1163.0,99.07615,3.5,3.1,1.3,2.7,5.798,0.38,0.04999999999999982,0.1999999999999993,-0.4269999999999996,-62.0,-0.024640000000005102,0.0,4.2,-0.9999999999999998,3.0,-0.12899999999999956,0.0,1974.7842583469946,97.5422342774148,2.184923439927975,-0.06367462446759466
2016-06-15,0.0,0.0,0.0,0.0,1.66,4.9,17.735,1203.0,99.07256,3.5,3.1,1.3,2.7,5.798,0.38,0.020000000000000018,-0.1999999999999993,0.06599999999999895,40.0,-0.0035900000000026466,0.0,0.0,0.0,0.0,0.0,0.0,2069.657743737022,94.18469409712863,0.3300032134342866,0.010496230111702129
