"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-06",101.0522,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-07",100.7794,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-08",100.5985,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-09",100.484,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-10",100.3927,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-11",100.3391,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-12",100.2986,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-01",100.2565,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-02",100.1197,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-03",99.97938,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-04",99.84072,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-05",99.71804,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-06",99.63566,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-07",99.59832,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-08",99.61301,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-09",99.64665,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-10",99.68875,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-11",99.71552,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-12",99.71649,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-01",99.69211,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-02",99.68701,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-03",99.72397,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-04",99.7946,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-05",99.84708,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-06",99.89257,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-07",99.9274,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-08",99.96907,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-09",100.0402,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-10",100.189,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-11",100.44,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-12",100.7997,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-01",101.2829,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-02",101.7002,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-03",102.1318,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-04",102.5504,
